category,question,answer,source_pages,article_no
รายวิชา,วิชา CALCULUS 1 (06026200) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร?,ปี 1 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6),15;21;28;312,
รายวิชา,"วิชา “การเรียนรู้ของเครื่อง” (MACHINE LEARNING, 06026217) เป็นวิชาบังคับหรือวิชาเลือก และมีวิชาบังคับก่อนหรือไม่?","เป็นวิชาเลือก (กลุ่มยืดหยุ่นชั้นปี/ภาคการศึกษาได้ 3/1, 3/2, 4/1) ไม่มีวิชาบังคับก่อน",16;17;18;25;32;324,
รายวิชา,วิชาสหกิจศึกษาทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ (06026259 หรือ 06026260) เรียนกี่หน่วยกิต และอยู่ปีใด?,6(0-35-0) หน่วยกิต เรียนปี 4 ภาคการศึกษาที่ 2 (แผนสหกิจศึกษา),20;34;339,
รายวิชา,จำนวนหน่วยกิตรวมตลอดหลักสูตร DSBA เท่าไร?,132 หน่วยกิต,13;92,25
รายวิชา,"วิชา “พื้นฐานวิทยาการข้อมูล” (FUNDAMENTALS OF DATA SCIENCE, 06026208) สอนในชั้นปี/ภาคการศึกษาใด และมีคำอธิบายรายวิชาอยู่หน้าใด?",ปี 2 ภาคการศึกษาที่ 2; คำอธิบายรายวิชาอยู่หน้า 320,16;24;31;320,
ข้อบังคับ,เกณฑ์การสำเร็จการศึกษาของ DSBA (แผน coop) กำหนดหน่วยกิตขั้นต่ำและ GPA สะสมขั้นต่ำเท่าไร?,หน่วยกิตขั้นต่ำ 132 หน่วยกิต และ GPA สะสมขั้นต่ำ ≥ 2.00,92,25
ข้อบังคับ,เกณฑ์การได้รับเกียรตินิยมอันดับ 1 เหรียญทองของ DSBA กำหนด GPA เท่าไร?,GPA สะสมตามโครงสร้างหลักสูตรไม่ต่ำกว่า 3.75 และต้องไม่เทียบโอนหน่วยกิตจากสถาบันอื่น,93,25.2.1
ข้อบังคับ,นักศึกษาลงทะเบียนเรียนได้ต่ำสุด/สูงสุดกี่หน่วยกิตต่อภาคการศึกษาปกติ?,ต่ำสุด 9 หน่วยกิต สูงสุด 22 หน่วยกิต (ยกเว้นกรณีพิเศษที่ระบุไว้),89,11
ข้อบังคับ,นักศึกษาที่ได้ GPA สะสมต่ำกว่าเท่าไรจะถูกภาคทัณฑ์?,ต่ำกว่า 2.00 และจะพ้นภาคทัณฑ์เมื่อ GPA สะสมไม่ต่ำกว่า 2.00 อีกครั้ง,92,22
ข้อบังคับ,กรณีทุจริตในการสอบ นักศึกษาจะถูกลงโทษอย่างไร และการทุจริตมากกว่ากี่ครั้งจะทำให้พ้นสภาพนักศึกษา?,ครั้งแรก: ไม่ได้รับการพิจารณาผลการเรียนภาคการศึกษานั้น และถูกพักการเรียน 1 ภาคการศึกษาถัดไป; ทุจริตมากกว่า 3 ครั้ง: พ้นสภาพการเป็นนักศึกษา,91;94,20 วรรคสอง; 33.9
