source_gt,program,code,name_th,name_en,year,semester,pages
DSBA coop (academic_plan_coop),DSBA,06016401,คณิตศาสตร์สำหรับเทคโนโลยีสารสนเทศ,MATHEMATICS FOR INFORMATION TECHNOLOGY,1,1,
DSBA coop (academic_plan_coop),DSBA,06026200,แคลคูลัส 1,CALCULUS 1,1,1,15;28;66;312;351
DSBA coop (academic_plan_coop),DSBA,06026202,พีชคณิตเชิงเส้น,LINEAR ALGEBRA,1,1,15;67;313;351
DSBA coop (academic_plan_coop),DSBA,06066101,พื้นฐานทางธุรกิจสำหรับเทคโนโลยีสารสนเทศ,"BUSINESS FUNDAMENTALS FOR INFORMATION
TECHNOLOGY",1,1,15;21;28;71;315;316;351
DSBA coop (academic_plan_coop),DSBA,06066303,การแก้ปัญหาและโปรแกรมคอมพิวเตอร์,"PROBLEM SOLVING AND COMPUTER
PROGRAMMING",1,1,16;21;71;317;351
DSBA coop (academic_plan_coop),DSBA,90641001,โรงเรียนสร้างเสน่าห์,CHARM SCHOOL,1,1,14;121;123;149;232;260;350
DSBA coop (academic_plan_coop),DSBA,90641003,กีฬาและนันทนาการ,SPORTS AND RECREATIONAL ACTIVITIES,1,1,14;121;123;149;232;260;350
DSBA coop (academic_plan_coop),DSBA,90644007,ภาษาอังกฤษพื้นฐาน 1,FOUNDATION ENGLISH 1,1,1,14;121;134;207;211;350
DSBA coop (academic_plan_coop),DSBA,06026201,แคลคูลัส 2,CALCULUS 2,1,2,15;29;312;351
DSBA coop (academic_plan_coop),DSBA,06026203,การโปรแกรมคอมพิวเตอร์,COMPUTER PROGRAMMING,1,2,15;66;314;351
DSBA coop (academic_plan_coop),DSBA,06026205,การตลาดเบื้อต้น,INTRODUCTION TO MARKETING,1,2,16;318;352
DSBA coop (academic_plan_coop),DSBA,06066001,ความน่าจะเป็นและสถิติ,PROBABILITY AND STATISTICS,1,2,15;71;313;351
DSBA coop (academic_plan_coop),DSBA,90641002,ความฉลาดทางดิจิทัล,DIGITAL INTELLIGENCE QUOTIENT,1,2,14;121;123;149;232;260;350
DSBA coop (academic_plan_coop),DSBA,90642033,กฎหมายสำหรับคนรุ่นใหม่,LAW FOR NEW GENERATION,1,2,14;22;29;124;159;256;262;351
DSBA coop (academic_plan_coop),DSBA,90644008,ภาษาอังกฤษพื้นฐาน 2,FOUNDATION ENGLISH 2,1,2,14;121;134;207;211;350
DSBA coop (academic_plan_coop),DSBA,06026206,การวิเคราะห์ข้อมูลและการโปรแกรม,DATA ANALYTICS AND PROGRAMMING,2,1,16;319;352
DSBA coop (academic_plan_coop),DSBA,06066000,คณิตศาสตร์ไม่ต่อเนื่อง,DISCRETE MATHEMATICS,2,1,15;71;313;351
DSBA coop (academic_plan_coop),DSBA,06066300,แนวคิดระบบฐานข้อมูล,DATABASE SYSTEM CONCEPTS,2,1,16;71;316;321;322;351
DSBA coop (academic_plan_coop),DSBA,06066302,การเขียนโปรแกรมเว็บพื้นฐาน,FUNDAMENTAL WEB PROGRAMMING,2,1,16;71;317;351
DSBA coop (academic_plan_coop),DSBA,06066304,การวิเคราะห์และอออกแบบระบบสารสนเทศ,INFORMATION SYSTEM ANALYSIS AND DESIGN,2,1,16;318;351
DSBA coop (academic_plan_coop),DSBA,90644xxx,วิชาเลือกภาษาและการสื่อสาร,ELECTIVE IN LANGUAGE AND COMMUNICATION,2,1,30
DSBA coop (academic_plan_coop),DSBA,06026204,เครือข่ายและความมั่นคงทางไซเบอร์เบื่องต้น,"INTRODUCTION TO NETWORKS AND
CYBERSECURITY",2,2,15;24;66;314
DSBA coop (academic_plan_coop),DSBA,06026207,ระบบฐานข้อมูลแบบโนเอสคิวแอล,NOSQL DATABASE SYSTEMS,2,2,16;66;319;352
DSBA coop (academic_plan_coop),DSBA,06026208,พื้นฐานวิทยาการข้อมูล,FUNDAMENTALS OF DATA SCIENCE,2,2,16;66;320;352
DSBA coop (academic_plan_coop),DSBA,06026209,การแสดงข้อมูลด้วยแผนภาพ,DATA VISUALIZATION,2,2,16;66;320;352
DSBA coop (academic_plan_coop),DSBA,06026210,การหาค่าที่เหมาะที่สุด,OPTIMIZATION,2,2,16;320;352
DSBA coop (academic_plan_coop),DSBA,06066102,ระบบสารสนเทศเพื่อการจัดการ,MANAGEMENT INFORMATION SYSTEMS,2,2,16;71;316;351
DSBA coop (academic_plan_coop),DSBA,06066301,โครงสร้างข้อมูลและอัลกอริทึม,DATA STRUCTURES AND ALGORITHMS,2,2,16;31;71;317;351
DSBA coop (academic_plan_coop),DSBA,06026211,การเรียนรู้ของเครื่องเชิงประยุกต์,APPLIED MACHINE LEARNING,3,1,16;66;321;352
DSBA coop (academic_plan_coop),DSBA,06026212,การสร้างคลังข้อมูล,DATA WAREHOUSING,3,1,16;25;321;352
DSBA coop (academic_plan_coop),DSBA,06026xxx,"วิชาเลือกกลุ่มวิทยาการข้อมูล 1
วิชาเลือกกลุ่มการวิเคราะห์เชิงสถิติ 1
วิชาเลือกกลุ่มวิศวกรรมข้อมูล 1","ELECTIVE IN DATA SCIENCE
ELECTIVE IN STATISTICAL ANALYSIS 1
ELECTIVE IN DATA ENGINEERING 1",3,1,25;26;27;32
DSBA coop (academic_plan_coop),DSBA,06026xxx,"วิชาเลือกกลุ่มวิทยาการข้อมูล 2
วิชาเลือกกลุ่มการวิเคราะห์เชิงสถิติ 2
วิชาเลือกกลุ่มวิศวกรรมข้อมูล 2","ELECTIVE IN DATA SCIENCE 2
ELECTIVE IN STATISTICAL ANALYTICS 2
ELECTIVE IN DATA ENGINEERING 2",3,1,25;26;27;32
DSBA coop (academic_plan_coop),DSBA,9064xxxx,วิชาเลือกหมวดวิชาศึกษาทั่วไป,ELECTIVE IN GENERAL EDUCATION,3,1,351
